Data Filename;Sample Name;Sample ID;Crotonate;Acetate;Propionate;3-Hydroxybutyrate;Methylsuccinate;Ethylmalonate;Mesaconate;2-Hydroxy-3-Methylsuccinate;Succinate;Methylmalonat;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\98.lcd;;;7.744;;;11.657;27.468;;11.500;10.808;;5.375;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\99.lcd;;;5.229;;;5.016;4.837;;5.152;;6.909;5.190;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\100.lcd;;;8.715;;;8.624;4.876;;5.932;11.155;10.547;5.437;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\101.lcd;;;6.417;;;5.421;4.978;;4.310;9.192;;6.227;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\102.lcd;;;6.564;;;4.764;7.131;;5.375;10.046;55.290;6.253;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\103.lcd;;;7.467;;;11.772;4.834;;5.846;10.093;72.443;5.205;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\104.lcd;;;7.187;;;12.447;8.040;;5.636;10.779;133.987;4.895;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\105.lcd;;;6.016;;;8.004;4.763;;6.434;9.437;52.316;6.346;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\106.lcd;;;6.774;;;8.481;106.384;;109.691;10.982;12.848;6.084;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\107.lcd;;;7.349;;;9.704;136.513;;138.571;11.267;4.548;5.977;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\108.lcd;;;5.864;;;6.995;87.989;;90.010;11.299;;6.344;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\109.lcd;;;5.412;;;7.339;38.265;;32.298;13.247;39.371;6.496;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\110.lcd;;;5.059;;;6.809;17.731;;14.778;9.868;4.538;6.788;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\111.lcd;;;5.096;;;6.311;33.069;;27.511;11.236;4.642;5.993;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\112.lcd;;;12.514;;;9.038;4.812;;5.794;8.475;5.127;6.432;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\113.lcd;;;14.438;;;7.019;4.878;;4.871;11.025;5.138;4.338;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\114.lcd;;;7.633;;;3.773;4.823;;4.489;11.042;4.417;5.851;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\115.lcd;;;8.427;;;10.072;97.621;;70.785;10.326;4.671;5.380;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\116.lcd;;;12.559;;;23.344;278.784;;203.440;11.653;175.296;4.390;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\117.lcd;;;6.108;;;5.943;66.973;;50.396;28.579;4.524;7.508;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\118.lcd;;;9.654;;;11.588;144.654;;139.136;12.286;5.246;5.620;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\119.lcd;;;5.200;;;7.174;60.497;;58.035;10.966;5.011;6.362;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\120.lcd;;;6.831;;;7.051;4.714;;35.135;12.615;;6.205;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\121.lcd;;;5.208;;;5.325;4.809;;5.380;10.689;4.739;6.274;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\122.lcd;;;5.797;;;5.341;4.753;;9.527;9.256;5.867;6.738;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\123.lcd;;;6.431;;;5.204;4.843;;4.251;33.876;14.334;5.611;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\124.lcd;;;6.254;;;5.572;14.482;;6.344;11.829;4.820;4.633;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\125.lcd;;;6.105;;;7.215;87.204;;66.413;10.631;4.209;5.987;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\126.lcd;;;5.595;;;4.374;101.807;;92.093;11.010;9.510;6.650;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\127.lcd;;;7.020;;;4.650;104.381;;60.942;10.813;4.356;4.824;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\128.lcd;;;4.935;;;3.600;101.067;;63.557;9.919;;5.597;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\129.lcd;;;5.215;;;2.694;91.052;;60.017;11.692;;6.203;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\130.lcd;;;8.849;;;6.336;186.913;;202.425;11.117;;5.523;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\131.lcd;;;6.723;;;5.928;117.780;;119.811;10.571;6.933;6.633;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\132.lcd;;;4.698;;;5.604;158.435;;167.933;11.360;4.618;6.157;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\133.lcd;;;6.688;;;8.213;18.849;;10.384;10.997;4.641;4.801;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\134.lcd;;;5.269;;;7.178;4.837;;6.896;9.767;;5.448;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\135.lcd;;;5.264;;;7.472;5.045;;7.090;9.263;6.393;5.528;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\136.lcd;;;4.932;;;6.835;4.785;;4.431;9.605;4.712;6.060;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\137.lcd;;;;;;8.656;14.039;;7.170;9.097;;6.004;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\138.lcd;;;7.272;;;6.218;36.279;;26.586;10.969;;6.556;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\139.lcd;;;11.022;;;8.036;4.813;;4.282;10.875;;5.039;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\140.lcd;;;8.084;;;5.340;5.086;;4.618;9.883;;6.368;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\141.lcd;;;7.003;;;4.213;4.844;;4.174;9.824;;5.910;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\142.lcd;;;5.903;;;8.043;4.810;;5.366;8.979;4.448;5.387;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\143.lcd;;;5.178;;;8.782;4.826;;4.837;9.730;53.947;5.866;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\144.lcd;;;4.554;;;7.845;4.798;;5.205;10.172;4.671;6.773;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\145.lcd;;;4.492;;;7.873;86.978;;79.854;10.553;;5.930;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\146.lcd;;;5.798;;;6.939;113.717;;103.273;11.007;;6.113;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\147.lcd;;;5.753;;;6.871;90.480;;82.970;10.067;;5.982;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\148.lcd;;;5.992;;;6.473;41.003;;29.141;11.172;;5.439;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\149.lcd;;;5.379;;;6.657;23.666;;15.641;10.895;4.437;5.925;
